Climate_Zone,Season,Crop_Type,Crop_Growth_Stage,Stage_Duration_days,Soil_Type,Soil_pH,Soil_Moisture_pct,Organic_Carbon_pct,Electrical_Conductivity_dSm,Tmax_C,Tmin_C,Temperature_C,Humidity_pct,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Reference_ET0_mm_day,Crop_Coefficient_Kc
Wet,Yala,Chili,Initial,25,Sandy Loam,5.42,15.07,0.71,0.72,28.5,23.1,25.8,82.1,212.8,6.4,8.1,Rainfed,River/Canal Diversion,0.38,No,3.56,0.6
Wet,Yala,Chili,Development,35,Sandy Loam,5.73,18.9,0.6,0.4,29.3,23.1,26.2,84.7,294.9,5.2,7.8,Rainfed,River/Canal Diversion,0.38,No,3.71,0.85
Wet,Yala,Chili,Mid-season,60,Sandy Loam,5.29,18.9,1.03,0.67,28.3,23.4,25.9,83.0,455.9,6.1,15.7,Rainfed,River/Canal Diversion,0.38,No,3.24,1.05
Wet,Yala,Chili,Late-season,30,Sandy Loam,5.28,18.9,0.84,0.83,29.4,22.7,26.1,78.4,0.0,7.2,7.6,Rainfed,River/Canal Diversion,0.38,No,3.98,0.9
Wet,Maha,Maize,Initial,20,Sandy,5.37,4.33,0.61,0.15,28.5,22.6,25.6,88.9,103.8,6.0,5.1,Furrow/Surface,River/Canal Diversion,1.09,No,3.62,0.3
Wet,Maha,Maize,Development,30,Sandy,5.28,8.5,0.84,0.51,28.3,23.7,26.0,81.3,186.7,6.7,9.0,Furrow/Surface,River/Canal Diversion,1.09,No,3.1,0.75
Wet,Maha,Maize,Mid-season,35,Sandy,5.17,9.73,0.33,0.53,27.5,22.3,24.9,80.5,0.0,6.0,9.3,Furrow/Surface,River/Canal Diversion,1.09,No,3.04,1.2
Wet,Maha,Maize,Late-season,15,Sandy,5.52,9.26,0.45,0.12,27.6,24.2,25.9,85.0,69.8,6.5,7.8,Furrow/Surface,River/Canal Diversion,1.09,No,2.47,0.6
Wet,Maha,Chili,Initial,25,Sandy Loam,5.82,15.91,0.84,0.67,29.1,21.4,25.3,86.2,120.1,5.7,5.5,Furrow/Surface,River/Canal Diversion,1.12,No,4.13,0.6
Wet,Maha,Chili,Development,35,Sandy Loam,6.24,18.9,0.55,0.46,27.4,21.9,24.6,82.6,274.6,5.9,4.2,Furrow/Surface,River/Canal Diversion,1.12,No,3.31,0.85
Wet,Maha,Chili,Mid-season,60,Sandy Loam,5.39,18.9,0.74,0.46,27.0,22.1,24.5,88.1,79.6,6.1,5.4,Furrow/Surface,River/Canal Diversion,1.12,No,2.91,1.05
Wet,Maha,Chili,Late-season,30,Sandy Loam,5.11,18.9,1.32,0.51,27.9,23.4,25.7,87.5,81.1,4.5,5.4,Furrow/Surface,River/Canal Diversion,1.12,No,2.98,0.9
Dry,Yala,Paddy (Rice),Initial,20,Sandy,4.95,10.39,0.41,0.31,35.4,24.0,29.7,74.1,15.9,7.7,7.5,Drip,Major Tank,0.33,No,5.65,1.05
Dry,Yala,Paddy (Rice),Development,30,Sandy,5.49,12.42,0.79,0.4,36.2,22.3,29.3,60.3,52.3,7.6,15.3,Drip,Major Tank,0.33,No,6.08,1.1
Dry,Yala,Paddy (Rice),Mid-season,40,Sandy,5.73,12.6,0.69,0.3,34.4,23.8,29.1,66.6,95.7,7.8,15.8,Drip,Major Tank,0.33,No,5.18,1.2
Dry,Yala,Paddy (Rice),Late-season,25,Sandy,5.32,12.6,0.7,0.63,34.6,26.6,30.6,69.9,47.3,8.7,13.9,Drip,Major Tank,0.33,No,4.72,0.95
Dry,Yala,Green Gram,Initial,12,Sandy,5.37,7.77,0.61,0.17,33.0,23.0,28.0,78.4,65.2,8.3,16.4,Rainfed,Rainfed,0.53,No,5.13,0.4
Dry,Yala,Green Gram,Development,18,Sandy,5.1,8.43,0.47,0.34,34.8,23.5,29.1,66.1,0.0,8.1,19.3,Rainfed,Rainfed,0.53,No,5.56,0.75
Dry,Yala,Green Gram,Mid-season,22,Sandy,5.4,6.47,0.44,0.09,34.9,24.2,29.6,74.6,23.7,9.1,15.4,Rainfed,Rainfed,0.53,No,5.41,1.05
Dry,Yala,Green Gram,Late-season,13,Sandy,4.77,7.67,0.69,0.53,34.1,24.3,29.2,60.9,67.8,8.9,13.5,Rainfed,Rainfed,0.53,No,5.07,0.4
Wet,Yala,Maize,Initial,20,Loamy,6.12,17.44,1.15,0.71,29.6,21.9,25.7,85.0,106.9,7.4,10.4,Furrow/Surface,Major Tank,2.0,Yes,4.22,0.3
Wet,Yala,Maize,Development,30,Loamy,6.56,19.54,1.33,0.57,30.6,22.5,26.5,83.9,373.6,6.1,8.8,Furrow/Surface,Major Tank,2.0,Yes,4.31,0.75
Wet,Yala,Maize,Mid-season,35,Loamy,6.62,26.25,1.29,0.45,27.8,24.7,26.2,81.7,139.3,6.8,10.7,Furrow/Surface,Major Tank,2.0,Yes,2.57,1.2
Wet,Yala,Maize,Late-season,15,Loamy,6.42,25.85,1.34,0.24,30.6,24.3,27.5,77.1,118.8,7.7,11.4,Furrow/Surface,Major Tank,2.0,Yes,3.82,0.6
Dry,Maha,Paddy (Rice),Initial,20,Sandy Loam,4.93,16.14,0.32,0.67,30.5,22.7,26.6,80.4,53.4,7.9,9.8,Drip,Major Tank,2.58,No,4.28,1.05
Dry,Maha,Paddy (Rice),Development,30,Sandy Loam,5.7,18.37,0.58,0.69,31.2,23.3,27.3,86.0,189.5,7.2,13.8,Drip,Major Tank,2.58,No,4.15,1.1
Dry,Maha,Paddy (Rice),Mid-season,40,Sandy Loam,5.41,18.9,0.58,0.64,30.8,22.5,26.7,75.1,304.9,6.4,13.6,Drip,Major Tank,2.58,No,3.89,1.2
Dry,Maha,Paddy (Rice),Late-season,25,Sandy Loam,5.6,18.9,1.08,0.39,29.1,22.6,25.9,81.2,92.4,7.6,8.8,Drip,Major Tank,2.58,No,3.33,0.95
Dry,Yala,Big Onion,Initial,15,Sandy Loam,5.19,12.93,1.15,0.73,35.3,24.5,29.9,68.7,10.1,8.7,18.5,Rainfed,Rainfed,1.93,No,5.54,0.7
Dry,Yala,Big Onion,Development,25,Sandy Loam,5.74,13.13,1.05,0.53,31.2,23.3,27.3,71.3,29.4,8.2,13.5,Rainfed,Rainfed,1.93,No,4.42,0.9
Dry,Yala,Big Onion,Mid-season,35,Sandy Loam,5.28,12.18,0.79,0.54,34.6,23.1,28.8,70.2,92.8,8.8,16.5,Rainfed,Rainfed,1.93,No,5.4,1.05
Dry,Yala,Big Onion,Late-season,20,Sandy Loam,5.21,12.75,0.94,0.21,32.5,22.9,27.7,55.4,128.7,6.0,12.6,Rainfed,Rainfed,1.93,No,4.83,0.75
Dry,Yala,Paddy (Rice),Initial,20,Clay,6.01,20.79,1.64,1.13,32.1,24.6,28.4,66.0,0.0,6.9,12.8,Furrow/Surface,Rainfed,1.34,No,4.46,1.05
Dry,Yala,Paddy (Rice),Development,30,Clay,6.47,24.14,1.72,1.0,34.1,24.6,29.3,68.7,87.4,8.5,9.0,Furrow/Surface,Rainfed,1.34,No,5.09,1.1
Dry,Yala,Paddy (Rice),Mid-season,40,Clay,5.63,25.5,1.57,0.74,34.8,24.7,29.8,77.0,132.1,8.2,13.5,Furrow/Surface,Rainfed,1.34,No,5.22,1.2
Dry,Yala,Paddy (Rice),Late-season,25,Clay,6.14,28.29,1.43,1.03,34.7,25.4,30.0,58.2,34.6,8.9,5.4,Furrow/Surface,Rainfed,1.34,No,5.06,0.95
Dry,Yala,Tomato,Initial,20,Sandy,4.9,8.05,0.63,0.45,33.3,23.5,28.4,64.6,31.4,7.9,9.2,Furrow/Surface,Rainfed,0.61,No,5.13,0.6
Dry,Yala,Tomato,Development,25,Sandy,5.04,8.86,0.65,0.8,33.8,26.2,30.0,80.7,6.8,7.5,10.3,Furrow/Surface,Rainfed,0.61,No,4.63,0.9
Dry,Yala,Tomato,Mid-season,35,Sandy,5.01,8.48,0.38,0.22,34.9,24.5,29.7,64.5,138.9,8.9,10.5,Furrow/Surface,Rainfed,0.61,No,5.28,1.15
Dry,Yala,Tomato,Late-season,20,Sandy,5.11,9.75,0.9,0.24,30.8,23.8,27.3,65.0,14.5,8.8,14.3,Furrow/Surface,Rainfed,0.61,No,4.15,0.8
Dry,Maha,Green Gram,Initial,12,Clay,6.37,25.39,1.16,1.16,29.9,23.2,26.6,79.6,77.7,7.3,6.2,Drip,River/Canal Diversion,1.97,No,4.0,0.4
Dry,Maha,Green Gram,Development,18,Clay,6.19,24.48,1.69,0.24,30.2,23.2,26.7,64.6,52.6,7.3,4.3,Drip,River/Canal Diversion,1.97,No,3.99,0.75
Dry,Maha,Green Gram,Mid-season,22,Clay,5.84,23.25,1.31,0.73,30.9,24.1,27.5,81.2,222.2,5.9,7.8,Drip,River/Canal Diversion,1.97,No,3.86,1.05
Dry,Maha,Green Gram,Late-season,13,Clay,6.3,24.74,1.78,0.62,29.4,21.8,25.6,85.9,71.3,6.5,8.7,Drip,River/Canal Diversion,1.97,No,3.76,0.4
Wet,Maha,Big Onion,Initial,15,Sandy,5.65,10.19,0.36,0.37,28.1,22.4,25.2,73.0,196.9,5.7,7.7,Sprinkler,Major Tank,0.42,No,3.57,0.7
Wet,Maha,Big Onion,Development,25,Sandy,5.45,12.6,0.67,0.32,27.1,23.4,25.2,83.9,49.9,6.2,6.3,Sprinkler,Major Tank,0.42,No,2.81,0.9
Wet,Maha,Big Onion,Mid-season,35,Sandy,5.07,10.89,0.5,0.5,28.2,22.9,25.5,83.9,197.0,5.4,4.1,Sprinkler,Major Tank,0.42,No,3.16,1.05
Wet,Maha,Big Onion,Late-season,20,Sandy,5.18,9.41,0.21,0.41,26.1,24.1,25.1,80.1,184.3,6.3,4.2,Sprinkler,Major Tank,0.42,No,1.84,0.75
Dry,Maha,Tomato,Initial,20,Sandy Loam,5.2,13.17,0.74,0.89,28.3,22.3,25.3,72.2,157.5,8.1,13.0,Drip,Major Tank,2.35,No,3.67,0.6
Dry,Maha,Tomato,Development,25,Sandy Loam,4.77,18.9,0.91,0.62,28.7,23.5,26.1,86.5,216.4,8.1,11.6,Drip,Major Tank,2.35,No,3.33,0.9
Dry,Maha,Tomato,Mid-season,35,Sandy Loam,5.21,18.9,1.06,0.85,31.3,21.5,26.4,74.0,170.3,8.3,13.7,Drip,Major Tank,2.35,No,4.33,1.15
Dry,Maha,Tomato,Late-season,20,Sandy Loam,5.63,18.9,0.74,0.55,32.1,23.0,27.5,81.6,81.0,8.1,14.1,Drip,Major Tank,2.35,No,4.13,0.8
Wet,Maha,Tomato,Initial,20,Sandy,5.82,8.82,0.66,0.05,27.5,21.6,24.6,89.4,77.6,6.9,7.7,Furrow/Surface,Minor Tank,0.79,Yes,3.56,0.6
Wet,Maha,Tomato,Development,25,Sandy,5.31,7.53,0.89,0.27,28.2,22.8,25.5,85.3,98.2,6.4,8.5,Furrow/Surface,Minor Tank,0.79,Yes,3.39,0.9
Wet,Maha,Tomato,Mid-season,35,Sandy,5.29,7.88,0.64,0.63,29.2,22.1,25.7,79.4,28.5,5.7,6.9,Furrow/Surface,Minor Tank,0.79,Yes,3.7,1.15
Wet,Maha,Tomato,Late-season,20,Sandy,5.45,5.17,0.58,0.56,29.5,23.3,26.4,80.4,152.7,5.5,7.0,Furrow/Surface,Minor Tank,0.79,Yes,3.4,0.8
Intermediate,Yala,Chili,Initial,25,Sandy,5.13,11.39,0.38,0.61,32.0,21.8,26.9,78.7,64.2,7.4,9.0,Rainfed,River/Canal Diversion,0.47,No,4.99,0.6
Intermediate,Yala,Chili,Development,35,Sandy,5.29,11.88,0.55,0.24,32.7,19.9,26.3,81.5,62.2,6.5,7.0,Rainfed,River/Canal Diversion,0.47,No,5.39,0.85
Intermediate,Yala,Chili,Mid-season,60,Sandy,5.05,12.6,0.49,0.18,32.4,22.3,27.3,78.8,73.3,7.9,3.4,Rainfed,River/Canal Diversion,0.47,No,4.85,1.05
Intermediate,Yala,Chili,Late-season,30,Sandy,4.57,12.6,0.54,0.88,31.5,22.0,26.8,68.8,77.6,7.7,6.7,Rainfed,River/Canal Diversion,0.47,No,4.82,0.9
Dry,Yala,Tomato,Initial,20,Sandy Loam,6.08,11.35,0.85,0.56,34.9,22.4,28.7,73.3,0.0,8.2,12.4,Sprinkler,Rainfed,1.37,Yes,5.8,0.6
Dry,Yala,Tomato,Development,25,Sandy Loam,5.81,12.03,0.85,0.44,34.0,22.6,28.3,68.6,13.4,8.5,14.0,Sprinkler,Rainfed,1.37,Yes,5.36,0.9
Dry,Yala,Tomato,Mid-season,35,Sandy Loam,4.81,9.73,0.75,0.61,32.8,25.1,28.9,61.1,46.6,8.7,15.1,Sprinkler,Rainfed,1.37,Yes,4.38,1.15
Dry,Yala,Tomato,Late-season,20,Sandy Loam,5.34,10.52,0.67,0.24,34.1,22.5,28.3,66.6,22.3,7.4,12.8,Sprinkler,Rainfed,1.37,Yes,5.35,0.8
Wet,Yala,Maize,Initial,20,Loamy,6.06,21.87,0.78,0.45,30.0,22.3,26.1,79.2,276.9,7.3,7.0,Furrow/Surface,Major Tank,0.43,No,4.27,0.3
Wet,Yala,Maize,Development,30,Loamy,6.43,26.25,1.17,0.52,29.7,23.6,26.7,84.9,287.7,6.0,6.7,Furrow/Surface,Major Tank,0.43,No,3.78,0.75
Wet,Yala,Maize,Mid-season,35,Loamy,5.78,26.25,0.94,0.31,29.4,22.0,25.7,78.8,79.9,7.2,9.2,Furrow/Surface,Major Tank,0.43,No,3.98,1.2
Wet,Yala,Maize,Late-season,15,Loamy,5.46,24.53,1.28,0.72,27.5,22.7,25.1,83.5,57.0,7.7,10.4,Furrow/Surface,Major Tank,0.43,No,3.18,0.6
Dry,Maha,Green Gram,Initial,12,Loamy,6.55,22.56,0.82,0.82,32.1,22.4,27.2,82.9,0.0,7.4,10.2,Rainfed,River/Canal Diversion,1.07,Yes,4.88,0.4
Dry,Maha,Green Gram,Development,18,Loamy,6.49,19.46,1.13,0.44,30.6,20.5,25.6,76.2,34.6,8.5,6.8,Rainfed,River/Canal Diversion,1.07,Yes,4.69,0.75
Dry,Maha,Green Gram,Mid-season,22,Loamy,5.55,16.33,0.83,0.09,32.2,21.6,26.9,72.9,0.0,7.7,9.0,Rainfed,River/Canal Diversion,1.07,Yes,4.75,1.05
Dry,Maha,Green Gram,Late-season,13,Loamy,6.16,15.64,1.28,0.63,30.4,22.0,26.2,87.5,92.3,6.6,8.6,Rainfed,River/Canal Diversion,1.07,Yes,3.99,0.4
Wet,Yala,Tomato,Initial,20,Loamy,5.97,21.74,1.16,1.0,30.0,24.3,27.1,84.5,260.1,6.5,7.7,Furrow/Surface,Agro-well,1.16,No,3.78,0.6
Wet,Yala,Tomato,Development,25,Loamy,6.32,26.25,1.02,0.78,29.6,23.9,26.8,82.6,216.1,5.7,9.9,Furrow/Surface,Agro-well,1.16,No,3.64,0.9
Wet,Yala,Tomato,Mid-season,35,Loamy,6.17,26.25,1.59,0.6,30.8,23.0,26.9,83.8,188.3,6.3,9.1,Furrow/Surface,Agro-well,1.16,No,4.21,1.15
Wet,Yala,Tomato,Late-season,20,Loamy,6.04,26.25,1.31,0.46,30.3,22.8,26.5,87.3,215.2,7.3,12.1,Furrow/Surface,Agro-well,1.16,No,4.12,0.8
Intermediate,Maha,Tomato,Initial,20,Loamy,6.04,20.21,1.2,0.32,27.6,20.5,24.0,76.5,196.1,5.2,5.5,Rainfed,Rainfed,1.41,No,3.85,0.6
Intermediate,Maha,Tomato,Development,25,Loamy,5.88,26.25,1.76,0.35,27.8,18.1,23.0,79.5,206.6,5.3,9.2,Rainfed,Rainfed,1.41,No,4.24,0.9
Intermediate,Maha,Tomato,Mid-season,35,Loamy,5.47,26.25,1.57,0.87,28.6,20.6,24.6,83.5,215.0,5.9,8.1,Rainfed,Rainfed,1.41,No,3.76,1.15
Intermediate,Maha,Tomato,Late-season,20,Loamy,6.07,26.25,1.55,0.81,28.2,19.3,23.7,76.2,89.4,4.7,6.7,Rainfed,Rainfed,1.41,No,3.75,0.8
Dry,Yala,Big Onion,Initial,15,Clay,5.88,27.44,1.17,0.97,33.7,23.4,28.5,77.7,48.0,7.4,15.1,Furrow/Surface,Major Tank,0.44,No,5.26,0.7
Dry,Yala,Big Onion,Development,25,Clay,7.26,27.82,0.73,0.88,33.9,22.5,28.2,82.0,28.7,8.2,14.5,Furrow/Surface,Major Tank,0.44,No,5.42,0.9
Dry,Yala,Big Onion,Mid-season,35,Clay,5.62,28.67,1.93,0.62,33.5,23.4,28.4,62.1,56.3,8.2,5.3,Furrow/Surface,Major Tank,0.44,No,5.04,1.05
Dry,Yala,Big Onion,Late-season,20,Clay,6.42,28.68,1.95,1.04,33.2,23.9,28.6,75.8,82.2,9.9,15.2,Furrow/Surface,Major Tank,0.44,No,4.85,0.75
Dry,Maha,Big Onion,Initial,15,Loamy,6.44,18.95,1.49,0.4,31.7,21.6,26.7,83.5,0.1,6.7,10.1,Rainfed,Minor Tank,0.16,Yes,4.89,0.7
Dry,Maha,Big Onion,Development,25,Loamy,5.91,18.39,1.52,0.45,30.3,21.8,26.1,72.0,60.0,6.7,10.6,Rainfed,Minor Tank,0.16,Yes,4.27,0.9
Dry,Maha,Big Onion,Mid-season,35,Loamy,5.34,18.37,1.39,0.66,30.5,21.4,25.9,81.6,289.3,6.7,9.1,Rainfed,Minor Tank,0.16,Yes,4.11,1.05
Dry,Maha,Big Onion,Late-season,20,Loamy,5.87,20.98,1.06,0.27,31.9,20.8,26.3,86.3,56.2,7.2,6.8,Rainfed,Minor Tank,0.16,Yes,4.38,0.75
Wet,Maha,Maize,Initial,20,Sandy,5.33,8.5,1.17,0.44,28.0,22.7,25.3,74.9,303.9,6.5,7.0,Furrow/Surface,Rainfed,0.82,No,3.45,0.3
Wet,Maha,Maize,Development,30,Sandy,5.74,12.6,0.54,0.16,27.0,23.9,25.4,76.4,143.7,6.3,6.1,Furrow/Surface,Rainfed,0.82,No,2.55,0.75
Wet,Maha,Maize,Mid-season,35,Sandy,5.07,12.18,0.58,0.08,27.5,22.8,25.1,84.4,259.2,6.4,2.6,Furrow/Surface,Rainfed,0.82,No,2.91,1.2
Wet,Maha,Maize,Late-season,15,Sandy,5.03,12.6,0.38,0.11,26.6,22.2,24.4,81.6,177.4,6.9,5.4,Furrow/Surface,Rainfed,0.82,No,2.7,0.6
Wet,Yala,Chili,Initial,25,Sandy Loam,5.52,13.29,1.16,0.44,29.6,23.7,26.7,76.2,323.3,6.7,9.4,Rainfed,Rainfed,0.99,No,3.8,0.6
Wet,Yala,Chili,Development,35,Sandy Loam,4.98,18.9,0.54,0.44,29.2,23.9,26.6,81.5,427.8,7.7,14.0,Rainfed,Rainfed,0.99,No,3.48,0.85
Wet,Yala,Chili,Mid-season,60,Sandy Loam,5.26,18.9,0.92,0.92,29.3,22.0,25.7,87.6,722.9,8.1,12.2,Rainfed,Rainfed,0.99,No,3.98,1.05
Wet,Yala,Chili,Late-season,30,Sandy Loam,6.04,18.9,0.7,0.72,29.0,24.5,26.8,87.7,201.5,5.7,8.3,Rainfed,Rainfed,0.99,No,3.33,0.9
Dry,Maha,Green Gram,Initial,12,Sandy Loam,5.29,9.02,0.9,0.51,31.4,20.4,25.9,77.3,36.0,7.0,9.2,Drip,Major Tank,0.63,No,5.01,0.4
Dry,Maha,Green Gram,Development,18,Sandy Loam,5.21,8.84,1.07,0.36,31.8,22.8,27.3,78.2,69.0,8.7,8.6,Drip,Major Tank,0.63,No,4.57,0.75
Dry,Maha,Green Gram,Mid-season,22,Sandy Loam,5.9,8.44,1.03,0.88,30.9,21.5,26.2,70.2,121.7,6.4,11.2,Drip,Major Tank,0.63,No,4.33,1.05
Dry,Maha,Green Gram,Late-season,13,Sandy Loam,5.81,7.84,1.0,0.46,31.6,22.5,27.0,86.7,96.7,6.8,7.4,Drip,Major Tank,0.63,No,4.16,0.4
Dry,Maha,Paddy (Rice),Initial,20,Clay,6.47,25.01,1.55,1.13,30.6,22.8,26.7,82.2,108.7,7.3,9.0,Furrow/Surface,Major Tank,0.94,No,4.29,1.05
Dry,Maha,Paddy (Rice),Development,30,Clay,5.67,28.24,1.44,0.68,30.5,22.4,26.4,82.8,225.4,5.4,4.5,Furrow/Surface,Major Tank,0.94,No,4.24,1.1
Dry,Maha,Paddy (Rice),Mid-season,40,Clay,6.09,31.51,1.25,0.88,31.9,21.2,26.5,73.5,82.7,6.6,8.6,Furrow/Surface,Major Tank,0.94,No,4.55,1.2
Dry,Maha,Paddy (Rice),Late-season,25,Clay,6.39,32.08,1.13,0.36,32.5,21.6,27.0,72.0,24.1,6.6,9.2,Furrow/Surface,Major Tank,0.94,No,4.58,0.95
Wet,Maha,Big Onion,Initial,15,Sandy,5.63,7.75,0.69,0.57,28.4,20.9,24.6,80.8,79.5,5.1,7.5,Furrow/Surface,Agro-well,0.7,Yes,4.03,0.7
Wet,Maha,Big Onion,Development,25,Sandy,4.37,9.34,0.92,0.36,30.8,21.4,26.1,78.9,176.5,6.7,8.5,Furrow/Surface,Agro-well,0.7,Yes,4.57,0.9
Wet,Maha,Big Onion,Mid-season,35,Sandy,5.18,9.8,0.56,0.5,26.0,22.7,24.3,78.7,225.7,6.5,7.6,Furrow/Surface,Agro-well,0.7,Yes,2.42,1.05
Wet,Maha,Big Onion,Late-season,20,Sandy,5.57,9.82,0.56,0.31,28.2,21.4,24.8,81.4,0.0,8.1,10.3,Furrow/Surface,Agro-well,0.7,Yes,3.41,0.75
Dry,Maha,Green Gram,Initial,12,Sandy,5.76,6.86,0.64,0.22,34.1,21.8,27.9,68.2,101.3,6.3,10.1,Rainfed,Agro-well,0.36,Yes,5.55,0.4
Dry,Maha,Green Gram,Development,18,Sandy,5.04,7.63,0.35,0.08,31.1,21.8,26.4,76.9,72.1,5.8,7.8,Rainfed,Agro-well,0.36,Yes,4.55,0.75
Dry,Maha,Green Gram,Mid-season,22,Sandy,5.58,6.35,0.44,0.4,31.6,21.9,26.8,76.7,49.5,7.1,12.5,Rainfed,Agro-well,0.36,Yes,4.48,1.05
Dry,Maha,Green Gram,Late-season,13,Sandy,6.03,5.11,0.86,0.16,29.9,22.7,26.3,79.2,63.9,7.2,6.0,Rainfed,Agro-well,0.36,Yes,3.69,0.4
Dry,Maha,Paddy (Rice),Initial,20,Sandy,4.61,6.1,0.72,0.34,30.2,22.8,26.5,76.3,162.3,5.8,12.3,Furrow/Surface,River/Canal Diversion,0.78,No,4.21,1.05
Dry,Maha,Paddy (Rice),Development,30,Sandy,4.87,10.25,0.76,0.85,32.2,22.8,27.5,73.9,258.8,7.2,5.8,Furrow/Surface,River/Canal Diversion,0.78,No,4.67,1.1
Dry,Maha,Paddy (Rice),Mid-season,40,Sandy,4.48,12.6,0.54,0.66,32.2,22.1,27.1,79.4,199.2,5.6,9.0,Furrow/Surface,River/Canal Diversion,0.78,No,4.49,1.2
Dry,Maha,Paddy (Rice),Late-season,25,Sandy,4.88,12.6,0.5,0.31,31.3,21.7,26.5,74.3,43.9,5.3,7.4,Furrow/Surface,River/Canal Diversion,0.78,No,4.24,0.95
Intermediate,Yala,Green Gram,Initial,12,Loamy,5.06,24.53,1.09,1.06,30.7,21.8,26.3,72.3,46.9,8.8,4.7,Rainfed,Minor Tank,0.98,No,4.64,0.4
Intermediate,Yala,Green Gram,Development,18,Loamy,6.02,24.69,1.31,0.63,31.9,22.7,27.3,71.9,20.5,7.7,5.7,Rainfed,Minor Tank,0.98,No,4.78,0.75
Intermediate,Yala,Green Gram,Mid-season,22,Loamy,6.06,20.74,1.57,0.69,30.5,23.1,26.8,72.7,70.8,8.8,6.9,Rainfed,Minor Tank,0.98,No,4.14,1.05
Intermediate,Yala,Green Gram,Late-season,13,Loamy,5.85,17.91,1.63,0.6,30.2,20.7,25.4,72.1,2.2,7.6,9.5,Rainfed,Minor Tank,0.98,No,4.5,0.4
Dry,Maha,Maize,Initial,20,Sandy Loam,5.49,14.5,0.46,0.32,32.9,22.9,27.9,88.0,147.8,6.2,4.4,Rainfed,Major Tank,0.48,No,4.97,0.3
Dry,Maha,Maize,Development,30,Sandy Loam,5.64,18.9,0.88,0.5,31.0,22.1,26.5,79.4,6.2,7.8,10.7,Rainfed,Major Tank,0.48,No,4.31,0.75
Dry,Maha,Maize,Mid-season,35,Sandy Loam,4.91,17.53,0.81,0.79,30.7,22.3,26.5,84.9,164.8,6.2,6.4,Rainfed,Major Tank,0.48,No,3.87,1.2
Dry,Maha,Maize,Late-season,15,Sandy Loam,5.18,17.5,0.98,0.74,31.7,20.4,26.0,81.2,84.1,6.9,7.3,Rainfed,Major Tank,0.48,No,4.33,0.6
Wet,Yala,Tomato,Initial,20,Sandy,4.9,6.87,0.63,0.45,31.0,22.2,26.6,84.9,39.5,7.8,10.7,Rainfed,Major Tank,1.27,No,4.64,0.6
Wet,Yala,Tomato,Development,25,Sandy,5.45,8.19,0.59,0.22,28.6,22.8,25.7,82.3,108.2,8.0,6.7,Rainfed,Major Tank,1.27,No,3.64,0.9
Wet,Yala,Tomato,Mid-season,35,Sandy,5.49,8.44,0.74,0.31,28.7,23.8,26.2,93.7,218.3,6.8,8.8,Rainfed,Major Tank,1.27,No,3.31,1.15
Wet,Yala,Tomato,Late-season,20,Sandy,5.0,8.11,0.69,0.18,29.5,24.2,26.9,84.2,161.5,6.3,6.6,Rainfed,Major Tank,1.27,No,3.51,0.8
Wet,Yala,Maize,Initial,20,Sandy Loam,5.59,11.32,1.12,0.51,30.0,23.7,26.9,80.6,139.7,6.5,7.9,Rainfed,Major Tank,0.26,No,3.94,0.3
Wet,Yala,Maize,Development,30,Sandy Loam,6.29,14.68,1.03,0.33,30.1,23.4,26.8,80.5,231.0,6.0,5.3,Rainfed,Major Tank,0.26,No,3.95,0.75
Wet,Yala,Maize,Mid-season,35,Sandy Loam,6.24,18.9,0.62,0.66,29.3,24.2,26.8,82.1,406.4,6.8,8.5,Rainfed,Major Tank,0.26,No,3.39,1.2
Wet,Yala,Maize,Late-season,15,Sandy Loam,6.29,18.9,0.92,0.72,29.4,23.3,26.3,84.0,257.8,6.8,11.6,Rainfed,Major Tank,0.26,No,3.71,0.6
Intermediate,Yala,Green Gram,Initial,12,Clay,6.39,23.03,1.5,0.4,30.7,24.4,27.6,80.6,61.5,6.6,11.4,Furrow/Surface,River/Canal Diversion,0.31,Yes,4.03,0.4
Intermediate,Yala,Green Gram,Development,18,Clay,7.11,24.34,1.16,0.86,31.2,21.6,26.4,68.5,88.3,7.0,9.8,Furrow/Surface,River/Canal Diversion,0.31,Yes,4.79,0.75
Intermediate,Yala,Green Gram,Mid-season,22,Clay,6.97,24.05,1.7,0.58,31.7,20.7,26.2,81.6,66.3,6.4,14.3,Furrow/Surface,River/Canal Diversion,0.31,Yes,5.01,1.05
Intermediate,Yala,Green Gram,Late-season,13,Clay,5.32,22.37,1.25,0.72,33.2,20.6,26.9,82.6,4.6,7.9,8.9,Furrow/Surface,River/Canal Diversion,0.31,Yes,5.39,0.4
Dry,Yala,Chili,Initial,25,Sandy,4.99,10.82,0.67,0.49,32.5,24.7,28.6,68.3,36.6,8.4,10.8,Drip,Agro-well,0.71,No,4.59,0.6
Dry,Yala,Chili,Development,35,Sandy,5.49,9.16,0.48,0.4,34.4,22.1,28.2,75.0,145.5,8.1,19.0,Drip,Agro-well,0.71,No,5.59,0.85
Dry,Yala,Chili,Mid-season,60,Sandy,5.79,10.25,0.58,0.43,35.4,24.9,30.2,68.4,18.5,9.9,11.9,Drip,Agro-well,0.71,No,5.37,1.05
Dry,Yala,Chili,Late-season,30,Sandy,4.62,12.6,0.29,1.01,33.4,23.2,28.3,70.8,77.4,8.1,14.3,Drip,Agro-well,0.71,No,5.17,0.9
