Field_Cycle_ID,District,Climate_Zone,Season,Crop_Type,Crop_Growth_Stage,Stage_Duration_days,Soil_Type,Soil_pH,Soil_Moisture_pct,Organic_Carbon_pct,Electrical_Conductivity_dSm,Tmax_C,Tmin_C,Temperature_C,Humidity_pct,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Reference_ET0_mm_day,Crop_Coefficient_Kc,Net_Irrigation_Requirement_mm,Gross_Irrigation_Requirement_mm
401,Kalutara,Wet,Maha,Green Gram,Late-season,13,Clay,6.35,23.29,1.57,0.75,28.9,22.0,25.5,86.9,23.0,6.0,9.2,Drip,Rainfed,1.66,Yes,0.0,3.64,0.4,0.0,0.0
402,Matara,Wet,Maha,Green Gram,Initial,12,Clay,6.69,25.49,1.77,0.75,26.9,22.9,24.9,84.2,85.7,4.3,5.5,Sprinkler,Minor Tank,0.57,No,4.0,2.98,0.4,0.0,0.0
402,Matara,Wet,Maha,Green Gram,Development,18,Clay,6.24,27.84,1.57,0.89,25.7,23.2,24.5,89.0,17.2,7.4,6.6,Sprinkler,Minor Tank,0.57,No,0.0,2.28,0.75,7.7,10.3
402,Matara,Wet,Maha,Green Gram,Mid-season,22,Clay,6.51,25.41,1.28,0.73,29.0,23.5,26.2,78.9,90.6,5.3,2.0,Sprinkler,Minor Tank,0.57,No,7.7,3.45,1.05,0.0,0.0
402,Matara,Wet,Maha,Green Gram,Late-season,13,Clay,6.4,23.21,1.01,1.07,28.4,22.4,25.4,87.7,47.0,6.6,6.2,Sprinkler,Minor Tank,0.57,No,0.0,3.4,0.4,0.0,0.0
403,Jaffna,Dry,Maha,Maize,Initial,20,Loamy,6.45,20.19,1.71,0.51,31.6,20.6,26.1,77.6,109.1,7.3,6.4,Rainfed,River/Canal Diversion,1.07,No,20.1,4.98,0.3,0.0,
403,Jaffna,Dry,Maha,Maize,Development,30,Loamy,5.91,22.82,0.52,0.58,31.8,23.1,27.5,81.7,182.2,7.9,3.2,Rainfed,River/Canal Diversion,1.07,No,0.0,4.33,0.75,0.0,
403,Jaffna,Dry,Maha,Maize,Mid-season,35,Loamy,6.24,25.39,1.1,0.87,33.5,22.9,28.2,75.0,235.4,5.2,10.5,Rainfed,River/Canal Diversion,1.07,No,0.0,4.52,1.2,0.0,
403,Jaffna,Dry,Maha,Maize,Late-season,15,Loamy,5.54,25.58,1.1,0.59,29.5,21.1,25.3,89.2,0.0,7.5,5.8,Rainfed,River/Canal Diversion,1.07,No,0.0,3.66,0.6,20.1,
404,Ampara,Dry,Maha,Paddy (Rice),Initial,20,Sandy Loam,4.8,10.91,0.85,0.56,31.5,21.3,26.4,79.1,222.7,6.7,10.5,Drip,Rainfed,1.11,No,72.8,4.89,1.05,0.0,0.0
404,Ampara,Dry,Maha,Paddy (Rice),Development,30,Sandy Loam,5.7,18.9,0.64,0.49,31.3,24.0,27.6,79.7,0.0,6.7,7.1,Drip,Rainfed,1.11,No,0.0,4.09,1.1,104.9,116.6
404,Ampara,Dry,Maha,Paddy (Rice),Mid-season,40,Sandy Loam,5.97,18.84,0.95,0.45,30.8,21.7,26.2,81.0,109.0,6.6,7.5,Drip,Rainfed,1.11,No,104.9,4.1,1.2,65.6,72.8
404,Ampara,Dry,Maha,Paddy (Rice),Late-season,25,Sandy Loam,4.98,18.64,0.99,0.57,33.1,23.0,28.1,80.3,136.3,7.3,8.6,Drip,Rainfed,1.11,No,65.6,4.44,0.95,0.0,0.0
405,Puttalam,Dry,Yala,Tomato,Initial,20,Clay,6.03,30.6,1.78,1.7,32.8,23.2,28.0,71.2,51.8,8.9,7.0,Rainfed,Agro-well,0.18,Yes,27.9,5.01,0.6,5.5,
405,Puttalam,Dry,Yala,Tomato,Development,25,Clay,6.22,30.89,1.09,0.6,32.4,23.5,27.9,68.4,33.5,7.7,10.2,Rainfed,Agro-well,0.18,Yes,5.5,4.73,0.9,41.8,
405,Puttalam,Dry,Yala,Tomato,Mid-season,35,Clay,5.61,30.31,1.27,0.56,32.7,23.3,28.0,71.9,123.2,8.0,7.7,Rainfed,Agro-well,0.18,Yes,41.8,4.79,1.15,51.9,
405,Puttalam,Dry,Yala,Tomato,Late-season,20,Clay,6.4,29.75,1.74,0.82,33.5,23.9,28.7,66.9,66.2,7.2,17.2,Rainfed,Agro-well,0.18,Yes,51.9,4.93,0.8,3.6,
406,Mannar,Dry,Yala,Tomato,Initial,20,Loamy,6.6,22.0,1.41,0.65,32.6,23.1,27.8,78.5,1.7,8.2,11.0,Furrow/Surface,Minor Tank,0.1,Yes,27.0,4.99,0.6,38.0,69.1
406,Mannar,Dry,Yala,Tomato,Development,25,Loamy,5.9,19.53,1.34,1.2,35.8,24.3,30.1,84.7,34.9,8.0,16.3,Furrow/Surface,Minor Tank,0.1,Yes,38.0,5.67,0.9,76.0,138.1
406,Mannar,Dry,Yala,Tomato,Mid-season,35,Loamy,6.67,18.53,1.66,0.64,34.6,23.2,28.9,69.1,115.1,7.5,15.7,Furrow/Surface,Minor Tank,0.1,Yes,76.0,5.42,1.15,93.8,170.5
406,Mannar,Dry,Yala,Tomato,Late-season,20,Loamy,6.41,18.68,1.2,0.05,33.2,23.7,28.5,61.5,0.0,7.9,12.7,Furrow/Surface,Minor Tank,0.1,Yes,93.8,4.92,0.8,44.8,81.5
407,Ratnapura,Wet,Maha,Paddy (Rice),Initial,20,Sandy Loam,5.59,18.08,0.89,0.41,28.4,23.3,25.9,83.0,254.1,6.1,9.5,Furrow/Surface,Major Tank,0.41,No,48.3,3.4,1.05,0.0,0.0
407,Ratnapura,Wet,Maha,Paddy (Rice),Development,30,Sandy Loam,6.13,18.9,0.66,0.31,28.3,24.2,26.2,85.4,85.7,7.1,4.6,Furrow/Surface,Major Tank,0.41,No,0.0,2.95,1.1,0.4,0.8
407,Ratnapura,Wet,Maha,Paddy (Rice),Mid-season,40,Sandy Loam,5.31,18.9,0.95,0.34,30.8,22.4,26.6,83.1,22.6,5.1,8.9,Furrow/Surface,Major Tank,0.41,No,0.4,4.01,1.2,116.6,212.0
407,Ratnapura,Wet,Maha,Paddy (Rice),Late-season,25,Sandy Loam,5.89,16.85,0.72,0.36,28.5,21.9,25.2,85.0,211.6,5.7,5.8,Furrow/Surface,Major Tank,0.41,No,116.6,3.39,0.95,0.0,0.0
408,Puttalam,Dry,Yala,Paddy (Rice),Initial,20,Clay,6.95,24.38,1.46,1.39,32.6,23.4,28.0,73.9,0.0,9.0,14.7,Furrow/Surface,Major Tank,0.68,No,74.0,4.92,1.05,99.3,180.6
408,Puttalam,Dry,Yala,Paddy (Rice),Development,30,Clay,6.05,27.99,1.31,0.65,34.9,23.0,28.9,74.4,84.9,8.6,18.4,Furrow/Surface,Major Tank,0.68,No,99.3,5.59,1.1,96.0,174.6
408,Puttalam,Dry,Yala,Paddy (Rice),Mid-season,40,Clay,6.75,28.47,1.87,0.58,35.7,22.5,29.1,68.2,105.7,8.2,10.7,Furrow/Surface,Major Tank,0.68,No,96.0,5.79,1.2,180.9,328.9
408,Puttalam,Dry,Yala,Paddy (Rice),Late-season,25,Clay,5.62,30.53,1.58,1.25,33.0,24.2,28.6,70.0,80.5,8.9,16.9,Furrow/Surface,Major Tank,0.68,No,180.9,4.74,0.95,14.2,25.8
409,Puttalam,Dry,Yala,Tomato,Initial,20,Sandy,5.0,6.64,0.52,0.17,33.9,23.4,28.7,78.0,0.0,8.8,11.4,Furrow/Surface,Major Tank,0.28,No,24.0,5.33,0.6,61.3,111.5
409,Puttalam,Dry,Yala,Tomato,Development,25,Sandy,5.04,7.92,0.87,0.46,34.2,23.7,29.0,83.0,0.0,8.6,9.5,Furrow/Surface,Major Tank,0.28,No,61.3,5.26,0.9,109.9,199.8
409,Puttalam,Dry,Yala,Tomato,Mid-season,35,Sandy,5.35,9.83,0.89,0.45,32.7,23.3,28.0,70.7,5.4,7.5,13.5,Furrow/Surface,Major Tank,0.28,No,109.9,4.77,1.15,161.6,293.8
409,Puttalam,Dry,Yala,Tomato,Late-season,20,Sandy,5.52,10.62,0.5,0.29,35.9,23.8,29.9,72.6,10.9,7.8,13.3,Furrow/Surface,Major Tank,0.28,No,161.6,5.68,0.8,53.7,97.7
410,Polonnaruwa,Dry,Yala,Tomato,Initial,20,Clay,6.68,21.73,1.71,0.71,33.2,24.6,28.9,68.8,64.5,7.8,10.6,Sprinkler,River/Canal Diversion,0.75,No,18.7,4.83,0.6,10.2,13.7
410,Polonnaruwa,Dry,Yala,Tomato,Development,25,Clay,6.38,21.76,1.5,0.59,34.2,24.3,29.2,54.9,38.0,7.5,10.2,Sprinkler,River/Canal Diversion,0.75,No,10.2,5.14,0.9,80.3,107.0
410,Polonnaruwa,Dry,Yala,Tomato,Mid-season,35,Clay,5.57,21.23,1.76,1.18,36.4,23.6,30.0,64.0,45.8,7.7,13.3,Sprinkler,River/Canal Diversion,0.75,No,80.3,5.8,1.15,162.9,217.2
410,Polonnaruwa,Dry,Yala,Tomato,Late-season,20,Clay,7.28,20.34,1.37,0.39,34.3,23.0,28.7,65.4,50.8,7.2,8.4,Sprinkler,River/Canal Diversion,0.75,No,162.9,5.34,0.8,43.6,58.2
411,Badulla,Intermediate,Maha,Maize,Initial,20,Loamy,6.45,23.11,1.14,0.53,28.8,20.5,24.7,79.8,8.1,6.0,10.7,Rainfed,River/Canal Diversion,0.92,No,25.2,4.24,0.3,9.3,
411,Badulla,Intermediate,Maha,Maize,Development,30,Loamy,5.59,21.31,1.72,0.66,28.6,20.6,24.6,86.6,210.4,6.2,10.2,Rainfed,River/Canal Diversion,0.92,No,9.3,4.01,0.75,0.0,
411,Badulla,Intermediate,Maha,Maize,Mid-season,35,Loamy,5.78,26.25,1.11,0.47,30.3,19.5,24.9,80.0,112.3,5.7,8.9,Rainfed,River/Canal Diversion,0.92,No,0.0,4.39,1.2,39.6,
411,Badulla,Intermediate,Maha,Maize,Late-season,15,Loamy,6.65,25.1,1.51,0.48,28.8,19.9,24.3,85.1,213.6,6.1,6.0,Rainfed,River/Canal Diversion,0.92,No,39.6,3.83,0.6,0.0,
412,Colombo,Wet,Maha,Tomato,Initial,20,Sandy Loam,4.94,10.67,0.98,0.3,28.2,23.3,25.7,79.4,0.0,7.2,4.4,Rainfed,Major Tank,0.31,No,11.8,3.34,0.6,31.6,
412,Colombo,Wet,Maha,Tomato,Development,25,Sandy Loam,5.41,10.76,0.94,0.25,28.4,23.2,25.8,85.2,158.3,6.7,5.2,Rainfed,Major Tank,0.31,No,31.6,3.31,0.9,0.0,
412,Colombo,Wet,Maha,Tomato,Mid-season,35,Sandy Loam,5.27,12.61,0.7,0.61,28.4,23.9,26.1,85.6,180.8,6.5,7.2,Rainfed,Major Tank,0.31,No,0.0,2.94,1.15,0.0,
412,Colombo,Wet,Maha,Tomato,Late-season,20,Sandy Loam,5.46,11.88,0.88,0.64,28.7,23.6,26.2,81.3,52.0,5.2,6.9,Rainfed,Major Tank,0.31,No,0.0,3.05,0.8,0.0,
413,Vavuniya,Dry,Yala,Tomato,Initial,20,Loamy,5.6,17.23,1.0,0.26,33.9,23.3,28.6,73.5,0.0,8.4,13.7,Furrow/Surface,Major Tank,1.49,No,26.0,5.34,0.6,58.4,106.3
413,Vavuniya,Dry,Yala,Tomato,Development,25,Loamy,5.58,17.5,1.23,0.16,35.4,24.2,29.8,65.3,54.3,8.3,13.3,Furrow/Surface,Major Tank,1.49,No,58.4,5.55,0.9,71.3,129.7
413,Vavuniya,Dry,Yala,Tomato,Mid-season,35,Loamy,6.25,17.28,1.11,0.82,32.6,25.2,28.9,53.3,12.2,9.4,8.1,Furrow/Surface,Major Tank,1.49,No,71.3,4.35,1.15,146.2,265.9
413,Vavuniya,Dry,Yala,Tomato,Late-season,20,Loamy,5.49,17.89,1.01,0.9,33.5,23.7,28.6,64.8,36.8,6.8,12.9,Furrow/Surface,Major Tank,1.49,No,146.2,4.99,0.8,30.0,54.6
414,Monaragala,Intermediate,Maha,Big Onion,Initial,15,Sandy Loam,5.2,12.73,1.38,0.19,28.9,18.7,23.8,79.4,156.0,6.6,6.9,Sprinkler,Minor Tank,0.89,No,15.5,4.62,0.7,0.0,0.0
414,Monaragala,Intermediate,Maha,Big Onion,Development,25,Sandy Loam,5.47,18.07,0.96,0.55,30.5,19.5,25.0,88.7,135.7,6.7,8.0,Sprinkler,Minor Tank,0.89,No,0.0,4.82,0.9,0.0,0.0
414,Monaragala,Intermediate,Maha,Big Onion,Mid-season,35,Sandy Loam,5.78,16.22,0.86,0.62,28.8,20.1,24.5,87.8,197.8,6.6,7.8,Sprinkler,Minor Tank,0.89,No,0.0,3.97,1.05,0.0,0.0
414,Monaragala,Intermediate,Maha,Big Onion,Late-season,20,Sandy Loam,5.48,17.75,0.4,0.68,28.7,21.1,24.9,80.9,113.4,7.7,8.3,Sprinkler,Minor Tank,0.89,No,0.0,3.6,0.75,0.0,0.0
415,Batticaloa,Dry,Maha,Big Onion,Initial,15,Loamy,5.35,19.69,1.17,0.59,32.6,23.4,28.0,71.1,27.5,5.6,10.5,Rainfed,Agro-well,0.81,No,15.8,4.8,0.7,21.1,
415,Batticaloa,Dry,Maha,Big Onion,Development,25,Loamy,6.19,18.8,1.6,0.59,30.3,20.5,25.4,79.9,93.6,7.2,11.5,Rainfed,Agro-well,0.81,No,21.1,4.53,0.9,17.1,
415,Batticaloa,Dry,Maha,Big Onion,Mid-season,35,Loamy,5.88,20.48,1.77,0.33,31.4,22.6,27.0,81.6,251.4,5.6,8.2,Rainfed,Agro-well,0.81,No,17.1,4.2,1.05,0.0,
415,Batticaloa,Dry,Maha,Big Onion,Late-season,20,Loamy,5.86,20.72,1.1,0.52,32.7,22.3,27.5,78.8,55.5,6.8,9.5,Rainfed,Agro-well,0.81,No,0.0,4.43,0.75,0.9,
416,Jaffna,Dry,Yala,Maize,Initial,20,Clay,6.28,32.38,0.76,0.69,33.2,24.0,28.6,78.4,25.8,8.4,14.1,Furrow/Surface,Major Tank,0.61,Yes,25.3,5.0,0.3,1.2,2.1
416,Jaffna,Dry,Yala,Maize,Development,30,Clay,6.87,32.0,1.08,0.47,34.1,23.1,28.6,70.9,39.0,8.2,9.3,Furrow/Surface,Major Tank,0.61,Yes,1.2,5.41,0.75,50.2,91.3
416,Jaffna,Dry,Yala,Maize,Mid-season,35,Clay,6.31,29.43,1.04,0.6,34.0,24.1,29.0,63.6,84.8,8.4,18.1,Furrow/Surface,Major Tank,0.61,Yes,50.2,5.09,1.2,102.3,186.1
416,Jaffna,Dry,Yala,Maize,Late-season,15,Clay,5.73,30.87,1.72,0.72,34.3,25.2,29.8,69.0,42.5,8.0,10.6,Furrow/Surface,Major Tank,0.61,Yes,102.3,4.97,0.6,0.0,0.0
417,Mannar,Dry,Yala,Big Onion,Initial,15,Sandy,5.11,7.75,0.38,0.2,34.1,24.0,29.0,63.3,35.1,9.0,11.6,Drip,Rainfed,0.46,No,19.7,5.28,0.7,18.1,20.1
417,Mannar,Dry,Yala,Big Onion,Development,25,Sandy,5.22,5.17,0.65,0.37,34.3,25.2,29.8,73.1,119.2,8.9,12.4,Drip,Rainfed,0.46,No,18.1,5.03,0.9,15.3,17.0
417,Mannar,Dry,Yala,Big Onion,Mid-season,35,Sandy,5.07,5.7,0.68,0.37,33.9,24.4,29.2,78.4,53.7,7.4,16.4,Drip,Rainfed,0.46,No,15.3,5.0,1.05,146.5,162.8
417,Mannar,Dry,Yala,Big Onion,Late-season,20,Sandy,4.73,7.99,0.59,0.1,36.3,23.1,29.7,68.5,33.4,7.5,9.0,Drip,Rainfed,0.46,No,146.5,5.94,0.75,42.2,46.9
418,Matara,Wet,Yala,Maize,Initial,20,Sandy,5.14,7.98,0.69,0.05,30.3,22.7,26.5,82.2,223.7,7.3,6.9,Drip,River/Canal Diversion,0.32,No,11.9,4.28,0.3,0.0,0.0
418,Matara,Wet,Yala,Maize,Development,30,Sandy,5.35,12.6,0.51,0.61,29.9,23.7,26.8,80.9,224.1,5.5,10.6,Drip,River/Canal Diversion,0.32,No,0.0,3.8,0.75,0.0,0.0
418,Matara,Wet,Yala,Maize,Mid-season,35,Sandy,5.19,12.6,0.37,0.66,30.7,24.7,27.7,87.2,329.5,6.3,15.4,Drip,River/Canal Diversion,0.32,No,0.0,3.72,1.2,0.0,0.0
418,Matara,Wet,Yala,Maize,Late-season,15,Sandy,5.52,12.6,0.55,0.28,30.4,24.5,27.5,85.4,0.0,5.8,8.1,Drip,River/Canal Diversion,0.32,No,0.0,3.7,0.6,19.8,22.0
419,Kandy,Wet,Yala,Paddy (Rice),Initial,20,Loamy,6.1,25.42,0.74,0.58,29.1,24.9,27.0,83.5,212.3,7.1,6.0,Furrow/Surface,Rainfed,0.98,Yes,62.7,3.23,1.05,0.0,0.0
419,Kandy,Wet,Yala,Paddy (Rice),Development,30,Loamy,6.0,26.25,0.61,0.21,30.0,22.4,26.2,75.4,143.2,6.8,13.0,Furrow/Surface,Rainfed,0.98,Yes,0.0,4.2,1.1,0.0,0.0
419,Kandy,Wet,Yala,Paddy (Rice),Mid-season,40,Loamy,5.85,26.25,1.25,0.68,29.6,24.8,27.2,78.2,332.1,6.5,9.0,Furrow/Surface,Rainfed,0.98,Yes,0.0,3.33,1.2,0.0,0.0
419,Kandy,Wet,Yala,Paddy (Rice),Late-season,25,Loamy,5.75,26.25,0.76,0.46,30.7,22.4,26.6,75.8,176.9,7.2,6.6,Furrow/Surface,Rainfed,0.98,Yes,0.0,4.38,0.95,0.0,0.0
420,Mullaitivu,Dry,Maha,Tomato,Initial,20,Loamy,5.91,19.53,1.17,1.01,32.4,21.9,27.2,85.0,220.4,6.1,10.7,Furrow/Surface,River/Canal Diversion,0.54,No,3.1,5.01,0.6,0.0,0.0
420,Mullaitivu,Dry,Maha,Tomato,Development,25,Loamy,5.82,26.25,1.27,1.09,34.1,22.8,28.4,75.7,0.0,6.3,9.2,Furrow/Surface,River/Canal Diversion,0.54,No,0.0,5.11,0.9,69.5,126.4
420,Mullaitivu,Dry,Maha,Tomato,Mid-season,35,Loamy,5.91,25.05,1.53,0.38,29.2,21.6,25.4,80.3,260.0,6.9,13.1,Furrow/Surface,River/Canal Diversion,0.54,No,69.5,3.64,1.15,0.0,0.0
420,Mullaitivu,Dry,Maha,Tomato,Late-season,20,Loamy,5.52,25.7,1.16,0.51,31.2,21.1,26.1,82.0,207.5,7.9,8.0,Furrow/Surface,River/Canal Diversion,0.54,No,0.0,4.11,0.8,0.0,0.0
421,Nuwara Eliya,Wet,Maha,Big Onion,Initial,15,Loamy,5.85,20.98,1.42,0.32,29.7,23.5,26.6,82.3,151.1,5.5,6.4,Furrow/Surface,Agro-well,0.47,Yes,10.4,3.85,0.7,0.0,0.0
421,Nuwara Eliya,Wet,Maha,Big Onion,Development,25,Loamy,6.03,25.62,1.29,0.31,28.4,21.2,24.8,81.3,192.2,5.5,7.8,Furrow/Surface,Agro-well,0.47,Yes,0.0,3.86,0.9,0.0,0.0
421,Nuwara Eliya,Wet,Maha,Big Onion,Mid-season,35,Loamy,5.86,26.25,0.72,0.22,27.2,23.4,25.3,83.7,154.9,6.5,10.4,Furrow/Surface,Agro-well,0.47,Yes,0.0,2.67,1.05,0.0,0.0
421,Nuwara Eliya,Wet,Maha,Big Onion,Late-season,20,Loamy,6.39,25.38,1.42,0.25,26.6,21.5,24.1,80.6,112.3,5.7,8.8,Furrow/Surface,Agro-well,0.47,Yes,0.0,2.88,0.75,0.0,0.0
422,Vavuniya,Dry,Yala,Big Onion,Initial,15,Sandy Loam,6.12,11.67,1.16,0.73,34.9,22.5,28.7,73.9,0.0,7.1,12.3,Furrow/Surface,Agro-well,0.7,No,14.4,5.79,0.7,50.6,92.1
422,Vavuniya,Dry,Yala,Big Onion,Development,25,Sandy Loam,5.41,12.82,0.91,0.52,32.6,24.3,28.5,72.3,3.7,7.6,11.3,Furrow/Surface,Agro-well,0.7,No,50.6,4.67,0.9,99.4,180.7
422,Vavuniya,Dry,Yala,Big Onion,Mid-season,35,Sandy Loam,5.88,11.47,1.01,0.29,32.8,25.2,29.0,60.3,66.8,9.0,7.9,Furrow/Surface,Agro-well,0.7,No,99.4,4.43,1.05,109.5,199.1
422,Vavuniya,Dry,Yala,Big Onion,Late-season,20,Sandy Loam,5.53,12.34,0.55,0.69,35.7,24.5,30.1,73.3,70.1,8.3,12.2,Furrow/Surface,Agro-well,0.7,No,109.5,5.53,0.75,11.0,20.0
423,Kandy,Wet,Yala,Green Gram,Initial,12,Sandy,5.31,11.97,0.47,0.65,28.8,24.2,26.5,82.7,81.0,6.8,12.1,Drip,Rainfed,1.54,No,18.5,3.35,0.4,0.0,0.0
423,Kandy,Wet,Yala,Green Gram,Development,18,Sandy,5.5,12.58,0.72,0.32,29.1,24.5,26.8,79.7,232.2,6.4,7.9,Drip,Rainfed,1.54,No,0.0,3.33,0.75,0.0,0.0
423,Kandy,Wet,Yala,Green Gram,Mid-season,22,Sandy,4.82,12.6,0.27,0.48,28.8,22.2,25.5,86.4,205.1,4.7,12.7,Drip,Rainfed,1.54,No,0.0,3.79,1.05,0.0,0.0
423,Kandy,Wet,Yala,Green Gram,Late-season,13,Sandy,5.19,12.6,0.47,0.43,30.0,23.2,26.6,81.1,209.8,6.8,10.6,Drip,Rainfed,1.54,No,0.0,3.92,0.4,0.0,0.0
424,Ratnapura,Wet,Yala,Maize,Initial,20,Sandy Loam,5.32,10.71,1.1,0.45,30.1,23.2,26.7,83.8,215.7,6.6,13.0,Furrow/Surface,Major Tank,1.2,Yes,21.5,4.08,0.3,0.0,0.0
424,Ratnapura,Wet,Yala,Maize,Development,30,Sandy Loam,5.08,18.9,1.41,0.49,29.3,23.7,26.5,79.7,257.7,6.3,8.8,Furrow/Surface,Major Tank,1.2,Yes,0.0,3.6,0.75,0.0,0.0
424,Ratnapura,Wet,Yala,Maize,Mid-season,35,Sandy Loam,5.67,18.9,1.02,0.59,29.6,21.9,25.8,78.8,120.4,6.0,11.5,Furrow/Surface,Major Tank,1.2,Yes,0.0,4.06,1.2,25.6,46.5
424,Ratnapura,Wet,Yala,Maize,Late-season,15,Sandy Loam,5.51,18.9,1.25,0.68,27.9,24.0,25.9,88.7,94.0,6.1,6.1,Furrow/Surface,Major Tank,1.2,Yes,25.6,2.94,0.6,0.0,0.0
425,Batticaloa,Dry,Yala,Big Onion,Initial,15,Sandy Loam,6.18,13.04,0.67,1.01,34.5,24.7,29.6,63.4,80.3,9.1,12.6,Sprinkler,River/Canal Diversion,0.96,No,26.4,5.22,0.7,0.0,0.0
425,Batticaloa,Dry,Yala,Big Onion,Development,25,Sandy Loam,5.63,15.28,0.2,0.56,35.4,23.6,29.5,72.3,0.0,8.2,9.7,Sprinkler,River/Canal Diversion,0.96,No,0.0,5.64,0.9,126.1,168.2
425,Batticaloa,Dry,Yala,Big Onion,Mid-season,35,Sandy Loam,5.51,14.95,0.51,0.45,33.1,23.3,28.2,67.9,145.1,9.0,13.3,Sprinkler,River/Canal Diversion,0.96,No,126.1,4.89,1.05,43.3,57.8
425,Batticaloa,Dry,Yala,Big Onion,Late-season,20,Sandy Loam,5.0,14.77,1.02,0.87,34.1,24.6,29.4,73.2,60.8,8.6,12.2,Sprinkler,River/Canal Diversion,0.96,No,43.3,4.94,0.75,0.0,0.0
426,Anuradhapura,Dry,Maha,Big Onion,Initial,15,Sandy Loam,6.08,12.72,0.96,0.41,30.9,22.1,26.5,77.3,80.3,5.9,7.8,Furrow/Surface,Major Tank,0.67,No,30.5,4.57,0.7,0.0,0.0
426,Anuradhapura,Dry,Maha,Big Onion,Development,25,Sandy Loam,5.28,15.01,0.75,0.67,31.9,22.4,27.1,78.6,143.0,7.0,10.3,Furrow/Surface,Major Tank,0.67,No,0.0,4.63,0.9,0.0,0.0
426,Anuradhapura,Dry,Maha,Big Onion,Mid-season,35,Sandy Loam,5.76,16.25,1.23,0.66,29.9,23.7,26.8,74.3,170.8,6.8,10.2,Furrow/Surface,Major Tank,0.67,No,0.0,3.48,1.05,0.0,0.0
426,Anuradhapura,Dry,Maha,Big Onion,Late-season,20,Sandy Loam,6.13,18.41,0.89,0.19,34.1,21.2,27.6,73.6,103.1,7.4,10.1,Furrow/Surface,Major Tank,0.67,No,0.0,4.88,0.75,0.0,0.0
427,Kilinochchi,Dry,Maha,Maize,Initial,20,Sandy Loam,5.96,14.8,0.77,0.54,31.1,23.3,27.2,64.3,87.6,6.7,8.7,Furrow/Surface,Major Tank,0.65,No,33.6,4.33,0.3,0.0,0.0
427,Kilinochchi,Dry,Maha,Maize,Development,30,Sandy Loam,5.49,16.51,1.04,0.52,32.1,23.9,28.0,80.0,102.5,7.5,9.4,Furrow/Surface,Major Tank,0.65,No,0.0,4.28,0.75,0.0,0.0
427,Kilinochchi,Dry,Maha,Maize,Mid-season,35,Sandy Loam,5.68,17.04,0.95,0.45,31.2,21.0,26.1,78.1,296.2,6.8,13.5,Furrow/Surface,Major Tank,0.65,No,0.0,4.25,1.2,0.0,0.0
427,Kilinochchi,Dry,Maha,Maize,Late-season,15,Sandy Loam,5.18,18.9,0.77,0.59,31.1,24.4,27.7,76.9,123.3,7.1,2.7,Furrow/Surface,Major Tank,0.65,No,0.0,3.46,0.6,0.0,0.0
428,Vavuniya,Dry,Maha,Big Onion,Initial,15,Loamy,5.79,21.2,1.52,0.38,30.3,23.4,26.8,82.0,94.9,5.1,5.5,Rainfed,Minor Tank,2.71,No,29.9,4.03,0.7,0.0,
428,Vavuniya,Dry,Maha,Big Onion,Development,25,Loamy,6.3,23.72,0.98,0.73,30.7,23.0,26.9,70.4,97.1,6.4,4.7,Rainfed,Minor Tank,2.71,No,0.0,4.14,0.9,0.0,
428,Vavuniya,Dry,Maha,Big Onion,Mid-season,35,Loamy,5.43,23.5,1.22,0.73,33.1,22.4,27.8,64.1,145.0,7.5,7.9,Rainfed,Minor Tank,2.71,No,0.0,4.65,1.05,18.3,
428,Vavuniya,Dry,Maha,Big Onion,Late-season,20,Loamy,6.49,23.03,1.29,0.62,30.8,23.5,27.1,74.0,118.3,6.3,8.7,Rainfed,Minor Tank,2.71,No,18.3,3.61,0.75,0.0,
429,Matara,Wet,Maha,Green Gram,Initial,12,Sandy Loam,5.08,7.3,1.43,0.88,27.1,23.0,25.0,86.2,17.9,6.2,4.9,Furrow/Surface,River/Canal Diversion,0.91,No,5.4,3.02,0.4,1.2,2.1
429,Matara,Wet,Maha,Green Gram,Development,18,Sandy Loam,5.29,4.0,1.21,0.38,28.4,22.2,25.3,82.4,16.6,6.7,5.7,Furrow/Surface,River/Canal Diversion,0.91,No,1.2,3.68,0.75,36.4,66.2
429,Matara,Wet,Maha,Green Gram,Mid-season,22,Sandy Loam,4.85,4.0,1.34,0.36,29.0,23.7,26.3,81.8,200.9,6.3,5.0,Furrow/Surface,River/Canal Diversion,0.91,No,36.4,3.38,1.05,0.0,0.0
429,Matara,Wet,Maha,Green Gram,Late-season,13,Sandy Loam,5.19,4.0,0.58,0.4,28.1,22.4,25.3,80.2,52.3,5.2,8.0,Furrow/Surface,River/Canal Diversion,0.91,No,0.0,3.28,0.4,0.0,0.0
430,Matale,Intermediate,Yala,Chili,Initial,25,Sandy,5.18,9.92,0.74,0.61,31.0,22.7,26.8,70.4,118.8,7.8,8.6,Rainfed,Minor Tank,0.84,No,33.3,4.52,0.6,0.0,
430,Matale,Intermediate,Yala,Chili,Development,35,Sandy,5.22,12.6,0.6,0.52,31.9,20.5,26.2,61.2,98.1,7.1,12.1,Rainfed,Minor Tank,0.84,No,0.0,5.09,0.85,45.1,
